,sentence,label
759,amazon just signed a deal to lease 20 Boeing 767 cargo planes,2
760,Today's losers,0
761,up $5.80,2
762,EPS growth is around 12% so far,2
763,may not be bad great stocks to trade making new highs,2
764,Top #NetPayoutYields,2
765,next major platform,2
766,Dailymail content is perfect for YHOO demographics,2
767,"investors are nervous about outlook, as they should be.",0
768,Money flow positive,2
769,Electronic Arts attracts more investors,2
770,Biggest Market Losers,0
771,down 5.43 %,0
772,Multiple expansion intact as well!,2
773,Added $REGN at 402,2
774,PLUNGING! Back to,0
775,running,2
776,Add to $FXP $SKF positions,2
777,get ready for the 560 *flush*,0
778,It Needs A New Tablet Strategy,0
779,Taking some profits,0
780,Down day for all biotechs Good to load up,2
781,still loving it today,2
782,Breaking 52 week highs timing looks great now,2
783,Timberrrr,0
784,The Best Stocks for 2012,2
785,double bottom could be in,2
786,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating,2
787,still having some trouble at the resistance line,2
788,Accumulation chart continues to make new highs showing accumulation continuing to take place,2
789,Apple hires former Amazon executive George Stathakopoulos as head of corporate data security,2
790,has been slipping,0
791,bullish reversal setup and breakout,2
792,Near HOD,2
793,Moody's downgrade,0
794,Markets Back in Black for 2016,2
795,this one is looking beat up and interesting,0
796,$amd is a two dollar spec play Ur penny scalps cost u w/IRS,0
797,SELL signal by $NDX internals technical SELL,0
798,starting to creep up,0
799,invest in elon,2
800,Still have my position,2
801,minuscule 0.09% gain in $ZIV Lost most of our handsome gains on Friday,0
802,airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
803,Receivable going to zero,0
804,Cisco also lower,0
805,Bullish MA Crossovers,2
806,sell $RHT,0
807,In Play Longs,2
808,next 5-6 charts illustrate a bullish weekly outcome,2
809,I would buy some wtsl at these prices,2
810,more positive comments from $MS,2
811,volume footprint looks great,0
812,Drugs and Biotech Getting Perky,2
813,wants to ta CEO says taxes may make co leave,0
814,companies shld be worried about iCloud,0
815,negative P&L on hardware,0
816,eyes more disposals in bid to appease City backers,2
817,gap fill 53.53 still waiting.,2
818,long,2
819,Pie In The Sky,2
820,afternoon selloff as usual will be brutal get ready to lose a ton of money.,0
821,Short more  markets will tank now,0
822,Has a great cash balance impressive growth rate,2
823,calls for nice gains Still holding Week made in a morning,2
824,Top holdings,2
825,getting out of his,0
826,strong 5min @above bollies,2
827,near a buy point last week,2
828,Google Will Soon Start Selling Chromebooks At Walmart And Staples,2
829,broke out now of his bull flag channel and make new highs,2
830,start strong finish weak,0
831,Services like $NFLX and #Hulu are growing much faster than cable,2
832,top stocks,2
833,Goldman Sachs reiterates conviction buy on,2
834,$AAPL max pain,0
835,"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
836,got some more,2
837,Favorite Stocks,2
838,BUY,2
839,run run $AMZN up 4.4% now,2
840,consumers keep cautious stance,0
841,"all on a longer-term, technical swing long basis.",2
842,$FB is taking the shine off $AAPL and $GOOG,0
843,broken out of a major horizontal resistance,2
844,Pie In The Sky,2
845,Balancing ROIC and growth to create value,2
846,Locked in some $FB puts for nice gain,0
847,we close around $34 it's a good sign Tom we can continue upwards!!,2
848,$NFLX more positive comments from $MS,2
849,Stochastic Overbought,0
850,"not all time low , been lower",0
851,"if one is to go long, money rotating into large cap tech",2
852,looks great bullish,2
853,starting to show some relative strength,2
854,Time to stomp on some dreams.,0
855,If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
856,more test of 12.85 coming up,2
857,RSI lowest level since October 2012,2
858,Long setup,2
859,Baird Upgrades Tesla Motors $TSLA to Outperform,2
860,my 18 year old and 14 year old are never on $FB  Their mom and grandmas are though,0
861,Sector Stocks Leading Today,2
862,$YOKU 0,1
863,may not be as secure,0
864,The Best Stocks for 2012,2
865,"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
866,today's momentum movers,2
867,Google Will Soon Start Selling Chromebooks At Walmart And Staples,2
868,Found some good bull setups this week,2
869,holding up relatively well compared to the broad market,2
870,less than stellar day but it held the 50 day moving average,0
871,A beautifully orchestrated marke,2
872,up 7$,2
873,Cures 96% of Hard-to-Treat,2
874,Long buying point,2
875,,1
876,let it run,2
877,Yahoo extends bidding deadline as interest grows,2
878,,0
879,Today I bought more,2
880,you will enjoy the bull run that just started,2
881,Issues Statement On Debt Ceiling,0
882,there's a good short spot,0
883,Worst performers today  $MGM $IO -6%,0
884,Insiders Are Selling,0
885,good news for domestic automakers,2
886,can ONE of the cheerleaders show me actual valuation work,0
887,up to $95 after market!,2
888,Buying on Weakness,2
889,Three of my hot stocks today,2
890,Ready for Take OFF!,2
891,Report: Apple signs up for Google's cloud,2
892,Short Setups Looking Nice....Really Nice,0
893,short $MBLY,0
894,will push $NLY investment to another time,0
895,Notable gainers among liquid option names this morning,2
896,looking to add a gold miner and possibly lower pe tech name into close,2
897,point at a possible move up,2
898,they let the stock fall big time after earnings,0
899,not selling before,2
900,tremendous opportunity awaits,2
901,up 10% in premarket ready for lift off,2
902,the overall market improve,2
903,gots some $AEZS this morning,2
904,Erinn Murphy of Piper Jaffray thinks $FINL is a BUY,2
905,longer term top building now a quickie short,2
906,debt crisis entered a dangerous new phase,0
907,$MU may go down 6% if the bear pattern is confirmed,0
908,looking good Note that it broke this area on lighter volume,2
909,cracking,0
910,Bullish MA Crossovers,2
911,still an interesting finance play been in this one since the 14's- hold,2
912,broke the downtrend line ready to launch through the 200 day moving average,2
913,some of the stocks that came up on screens for longs,2
914,Defying the Downturn,2
915,soars pre-market,2
916,This stock is a buy,2
917,PAIN,0
918,hi beta hi performers,2
919,in trouble ? is that earnings gap still unfilled ?,0
920,calls for nice gains Still holding Week made in a morning,2
921,Long look like a 5-10% run awaits,2
922,bull move ended waiting for next setup,0
923,trying to lead higher here,2
924,bought back more shares here today,2
925,"getting very close to 200 MA of 110.87, hasnâ€™t closed above 200 MA since July 31, 2015. If / when it does, will be significant.",2
926,"addding tsla ss , added small vrx long $TSLA $VRX",2
927,sold xoma,0
928,nice blurb for $BBRY,2
929,What a nice reversal.,2
930,I'm watching(and buy targets),2
931,Don't catch falling knives,2
932,Barclays signs on to Apple Pay,2
933,looking weak,0
934,Markets Are Still Acting Weak,0
935,short/put positions looking good here Wait for market downturn to confirm,0
936,bullish $NFLX day trade setup,2
937,Unusual Call Activity,2
938,Institutions seem to like this class of stocks,2
939,loading $SPY and $AAPL puts think were toppy,0
940,watch $TSLA > 34.5,2
941,still in bear market,0
942,China winners,2
943,stock options trade would have more than doubled your money,2
944,master class on how to conquer mobile astonishing turned their fortunes around,2
945,got hit hard lower this AM,0
946,biggies must be loading up here at lows,2
947,has a hard to diminish lead,2
948,Inverse Head and Shoulders forming,2
949,weak outlook,0
950,Indices are rallying today a lot of the 'highly covered companies' are underperforming,0
951,$GPRO up,2
952,Embarrassing China numbers,0
953,Possible target,2
954,Rally Friday! #new52weekhighs p over 31%,2
955,Long setup Closed above the 20MA,2
956,CLOSED GREEN!!!! BULLISH!,2
957,,1
958,bumping its head on declining daily 8ma as overhead resistance,0
959,At least you didn't stop out,0
960,finds support,2
961,Long-Term Potential Robust,2
962,hopefully peeps shorting $CAMT for scalps,0
963,Now it is time to short $TSLA,0
964,keep stock on your watch list,2
965,gap up tomorrow,2
966,demand ahead strongest growth,2
967,Our updated #core4 portfolio,2
968,new HOD with conviction keeping $570 on watch for Resistance,2
969,long the market,2
970,acting tough on big volume against the tape,2
971,Best outperformers ranked,2
972,Infection worries prompt regulatory reviews,0
973,Back to Back intraday reversals look out below Shorts moving in!,0
974,Weekly 625 calls now +42.31%,2
975,has been a bull and $gld a bear,1
976,Watchlist Top Stocks,2
977,I would consider this opportunity to add my position company is on the right track they are still improving sales,2
978,Markets Are Still Acting Weak,0
979,bear flag,0
980,took some $ENDP long this am,2
981,Yes buy everything up,2
982,Brent back below 49,0
983,A Premier Retail Dividend Play,2
984,beat up AH,2
985,shipments slid -9.6% to lowest quarterly total since 2007 dethrones,0
986,long,2
987,Bullish MA Crossovers,2
988,the most trending,2
989,Unusual Call Activity,2
990,Nice day rally!,2
991,Added long at friday close,2
992,Looks like might break down I'm out,0
993,"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
994,Pushing Channel Development,2
995,bot $EZPW,2
996,Like this > trade to 200 sma,2
997,short,0
998,CHUNK OF DEC $35 PUTS BOUGHT AT,0
999,Not Time To Buy,0
1000,round 2 short,0
1001,"580+ should be coming very quick, if the FED supports the markets 610",2
1002,debt crisis entered a dangerous new phase,0
1003,some of the stocks that came up on screens for longs,2
1004,Sector Stocks Leading Today,2
1005,short the market,0
1006,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
1007,Over 16 with conviction  I'm a buyer good for ride to 20,2
1008,$NFLX at $44B,2
1009,Seeing Competition,0
1010,Some competitors worry that BlackBerry is the inevitable successor to Northern Telecom much more competent leadership,2
1011,Moved Upper Bollinger Band,2
1012,Unusual Call Activity,2
1013,4 shorts only,0
1014,TOP 5 STOCK PICKS,2
1015,tired of seeing this go down,0
1016,ascending base breakout starting to gain traction strong stock,2
1017,have enjoyed shorting Anglo these last few weeks,0
1018,Top holdings,2
1019,$AAPL cleary surpassed their BB,0
1020,all going down,0
1021,Stochastic Overbought,0
1022,Expands Share Repurchase Program,2
1023,"Play safe, be long Just make sure you don't go long with all your money.",2
1024,Covered,2
1025,Bullish yeah $EWZ,2
1026,Closed short position,2
1027,Why $TWTR is doomed in 1 chart,0
1028,New RSI signal created on $COST - Buy,2
1029,Global PC shipments fell 9.6% in Q1 $MSFT destroyed the PC market,0
1030,holding up well today,2
1031,Unusual Call Activity,2
1032,all higher,2
1033,Deutsche Bank: cuts #Starbucks to Hold premium valuation,0
1034,stocks at support w/ high trade quality,2
1035,gapping up to all time highs,2
1036,downgrade,0
1037,NetApp downgraded by Macquarie to underperform,0
1038,short the $TSLA,0
1039,shipments slid -9.6% to lowest quarterly total since 2007 dethrones,0
1040,Fed cuts rates forecast Our calls go 100%,2
1041,lost revenue not good,0
1042,Finding Support,2
1043,confirmation is a hold  bottom looks like,2
1044,Sounds like we'll see some green tomorrow,2
1045,closed Friday with the RS line in new highs,2
1046,Beautiful trend/base all technicals pointing up Solid accumulation Looks good,2
1047,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
1048,$AAPL signs up with Google cloud,0
1049,heading back down to Not sure where this goes from here without news,0
1050,over 225 million new Internet users are being added globally every year,2
1051,Unusual call buying,2
1052,obby against Judge Garland or they risk losing the case,0
1053,probably long,2
1054,Unusual Call Activity,2
1055,Loooooongggggg base,2
1056,$PYPL w/ a solid start in #ecommerce checkout,2
1057,want to go this morning it's about time looking at the chart,2
1058,breaking out,2
1059,Nobody is recommending the sale of this stock Big things coming,2
1060,"all on a longer-term, technical swing long basis.",2
1061,buying my last round of shorts next week,0
1062,This stock is such a winner,2
1063,Pivotal upgrades Alphabet ahead of Q1 results,2
1064,Monday sold,0
1065,only those with the stomach for high risk are left,0
1066,Men sell $SVXY puts,2
1067,was still up on the screen,2
1068,some upside today If there is catalyst for this guy. It can run,2
1069,shorts made a killing last couple days,0
1070,Will be looking to add shares if we get a new high breakout,2
1071,atching SPY 60 min STO for a push,0
1072,#whisperbeat,2
1073,BMW entering into ride-share market with i3,2
1074,Rally Friday! #new52weekhighs p over 31%,2
1075,staying strong,2
1076,Can $TSLA roll over yet?,0
1077,Stock Receives Ratings Downgrade Today at Jefferies,0
1078,Looks weak now Stay Short in SPY till then.,0
1079,"small pos, short 180 wkly puts",0
1080,downward trendline,0
1081,"isn't cheap Wake me up when it's in the 20s, then it's worth a look.",0
1082,they have real assets,2
1083,Finding Support,2
1084,Buy these 3 stocks while there's blood in the streets,2
1085,Risky move,0
1086,Great short entry right now,0
1087,"Google, Inc. completes acquisition of ICOA",2
1088,Stocks Higher In Afternoon Trade,2
1089,Looking for continuation with volume increase,2
1090,Top #NetPayoutYields,2
1091,actively Head & Shoulder in progress,0
1092,with personal story sharing declining will $FB feeds start to look more like $TWTR,0
1093,worst performers,0
1094,not dipping - testing the 200 day ma,2
1095,Bad Apple,0
1096,,1
1097,should reward better on good earnings,2
1098,daily sales slowing again,0
1099,In play tmrw,2
1100,Sector Stocks Leading Today,2
1101,bidding war picks up for the company,2
1102,"is now beaten down, hated",0
1103,China winners,2
1104,Announces Record #Esports Viewership,2
1105,shares up ~7% after hours beats by,2
1106,seriously nothing says strong growth like well played,2
1107,Call credit spread,2
1108,they are hitting everything in sight. short it,0
1109,bought 3500 shares today!,2
1110,LNKD is great but doesnt the potential side with Fb,2
1111,short somewhere in the high his thing will b short to $3 soon,0
1112,#iPhone is really annoying.,0
1113,Bought more - Bought $FB at,2
1114,only a 50% gain from these levels,0
1115,companies shld be worried about iCloud,0
1116,indicators turning up Bounced off support,2
1117,US Adds 321K Jobs In November Unemployment Rate Remains At  Gold Futures off,2
1118,massive logistics capex result in missed earnings,0
1119,great company,2
1120,long $AAPL,2
1121,on the move up again,2
1122,ooks like nice risk/reward for starting to initiate a position looks like nice risk/reward for starting to initiate a position,2
1123,Favorite Stocks,2
1124,start strong finish weak,0
1125,buy $WFM,2
1126,Elon Muskâ€™s Comparision Of $TSLA With $AAPL Doesnâ€™t Go Well,0
1127,run run $AMZN up 4.4% now,2
1128,Covered Call,2
1129,earnings were good,2
1130,tremendous opportunity awaits,2
1131,downgrade,0
1132,$FB and $IBB still weak,0
1133,Dividend Hike Green Light,2
1134,guess everyone wants 620,2
1135,Good to load up Be confident,2
1136,long,2
1137,Aggressive Buy,2
1138,Highest call to put ratio,2
1139,short,0
1140,"As for $TWTR, no words.",0
1141,Stream too bullish you are going against the biggest BILLIONS,2
1142,nice in an out couple mini trades,2
1143,Short 61.8% Retracement Trendline and Resistance,0
1144,$TSLA recall after I cover my short.  that sounds about right,0
1145,breakouts,2
1146,Looking for a oversold bounce,2
1147,topping tail short from here,0
1148,NaturalGas Settles At 3-year Low,0
1149,its a decent Co should get bought Got in at $4.50,2
1150,doesn't make any real money hey barely hang on  bux it's not worth it,0
1151,Long buying point,2
1152,no trade for now,2
1153,support 212.93 no support to 209.45,2
1154,$AAPL a new long IF 110.61 is broke,2
1155,Analysts impressed with progress,2
1156,#offshoring #jobs & #production,2
1157,stocks insiders are bullish on,2
1158,Time to stomp on some dreams.,0
1159,Biggest gainers today large caps,2
1160,great short setting up,0
1161,holding up well today,2
1162,stocks insiders are bullish on,2
1163,$TSLA dump!,0
1164,Highest call to put ratio,2
1165,Don't short this stock,2
1166,There is massive short squeeze opportunity here,0
1167,with ex-dividend coming it will fall more,0
1168,Impressive numbers,2
1169,Micron Shares Pounded On Fears Of Loss Of Business From Apple,2
1170,Today's losers,0
1171,Covered all my $sina shorts,2
1172,$GRPN might be selling off ahead of $P earnings,0
1173,I am excited about all these plays,2
1174,I sold $TSLA,0
1175,I've been picking up railroad stocks for the retirement acct,2
1176,LONGS,2
1177,2 retailers whose stocks I own,2
1178,downgrade,0
1179,$TOL Higher,2
1180,75k just went through on the ask,0
1181,Bottom Losses,0
1182,short didnt work out,2
1183,Best outperformers ranked,2
1184,$TSLA is the only 'auto' stock showing a gain year-to-date,0
1185,breakout very likely,2
1186,my buddy bet the bank,2
1187,all going down,0
1188,Considering Bid,2
1189,Almost an outside day down,0
1190,5 Toxic Stocks Raising Red Flags to Sell,0
1191,high risk but could be a sweet ST runner once the jigginess exits,2
1192,is waking up,2
1193,Not Time To Buy,0
1194,trying to lead higher here,2
1195,Indices are rallying today a lot of the 'highly covered companies' are underperforming,0
1196,So many traders short,0
1197,Multi-year stock breakouts,2
1198,fast 56pc dive,0
1199,resistance breached last week,2
1200,Fast Money says short ahead of Black Friday,0
1201,got to short that even at work you jump in money trade,0
1202,"#Tesla: Great Company, Bad #Stock $TSLA",0
1203,,2
1204,recall model X,0
1205,Barclays signs on to Apple Pay,0
1206,Could offer support revisit to jump on long bus?,2
1207,very tight on the avail stock for shorting,0
1208,Announces Sale of Partial Stake,2
1209,down 20% in after-hour market,0
1210,Biggest gainers today large caps,2
1211,Big Drop in Hedge Fund Exposure to Market Even sharks don't trust this market,0
1212,short some,0
1213,ended the day down,2
1214,2nd raise this year. ncreases Quarterly Cash Dividend 20 Percent,2
1215,Getting ready to sell some premiumm,0
1216,Stochastic Overbought,0
1217,$KNDI China electric car maker. China car sales +7.8%.,2
1218,Looking for a strong bounce Lunchtime rally coming,2
1219,Looking for a strong bounce Lunchtime rally coming,2
1220,Cisco-Synata deal is a game-changer $CSCO,2
1221,running into cloud bottom,0
1222,next Q will be a good short,0
1223,Reasons for caution about Chinese stocks,0
1224,ready to pop!,2
1225,The Baltic Dry Index has only been lower than this 8 days in 30 years,0
1226,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family,2
1227,working on Cuba deals,2
1228,Sounds bullish,2
1229,$AAPL a new long IF 110.61 is broke,2
1230,giddy up!,2
1231,Holy green day batman luv it when a plan comes together,2
1232,$TWTR Fck you Bird!,0
1233,Sold: $CELG $AGIO,0
1234,Rally Friday! #new52weekhighs p over 31%,2
1235,Seems like a good short setup,0
1236,Unusual Call Activity,2
1237,EPS growth is around 12% so far,2
1238,Moved Upper Bollinger Band,2
1239,breaks major support,0
1240,Look at that $AMZN > 600,2
1241,Sold all:,0
1242,up almost 11% now,2
1243,Bricks and Mortar retailers selling cheaper +consumer -retailers,0
1244,mkt should stableize a little,2
1245,Santa Rally blow off top,2
1246,now a cloud software company. How the company transformed itself,2
1247,ended the day down,0
1248,closed Friday with the RS line in new highs,2
1249,still in bear market,0
1250,bearish engulfing candle,0
1251,Tomorrow party time for the Bears!!,0
1252,big $QQQ up day,2
1253,slipping,0
1254,the selling days appear exhausted,2
1255,shorts start quietly covering,2
1256,zigzag and reversal scenario,0
1257,AUG 645 calls +550%,2
1258,the parties over volatility is back,0
1259,huge buy in all these names,2
1260,go up 16% on no news,2
1261,downgrade,0
1262,breaking out,2
1263,In Play Longs,2
1264,"earning play $fast 47 puts, $vrx 34 puts , $bidu 182.5 puts",0
1265,Sinks to 35,0
1266,magically bought at under a dollar,2
1267,continues to consolidate,2
1268,Stares Into the Abyss,0
1269,2 retailers whose stocks I own,2
1270,Covered my small $MWW short,2
1271,Found some good bull setups this week,2
1272,start strong finish weak,0
1273,"raises Q2, FY12 guidance",2
1274,I'll take the other side of that trade,2
1275,massive recent recovery toward new highs should give the real shareholders encouragement on questcor,2
1276,Wilful infringement does not go into calculations of patent damages $AAPL,0
1277,Report: Apple signs up for Google's cloud,0
1278,Sector Stocks Leading Today,2
1279,First quarter is amazing,2
1280,Biggest gainers today large caps,2
1281,If that's what you want then buy some,2
1282,pushing to 12,2
1283,this is going to end in the red,0
1284,stocks at support w/ high trade quality,2
1285,issues already priced in,2
1286,may rebound faster,2
1287,Guess the late traders will be stocking up on $TSLA,2
1288,near a 3% drop thats a lot,0
1289,Sold all:,0
1290,Rally Friday! #new52weekhighs p over 31%,2
1291,may be ripe for a #takeover targe,2
1292,on watch for everyone on Tuesday night for a serious breakout,2
1293,"With Oil Prices Down further, Oil Stocks Looking Less Cheap",0
1294,Stochastic Overbought,0
1295,betting that $GOOG buys Twitter,2
1296,Highest call to put ratio,2
1297,all going down,0
1298,ended the day down,0
1299,Breakout in Regional Banking,2
1300,is somewhat tempting on the long side here,2
1301,New bullish conversation activity,2
1302,Both look good to me,2
1303,careful can reverse fast,0
1304,SHORT,0
1305,Good to load up Be confident,2
1306,who won't pay anymore REAL risk,0
1307,If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
1308,"Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise",2
1309,"Support here @ 50sma Good long trade, tight stop",2
1310,Report: Apple signs up for Google's cloud,2
1311,get up out of that Bermuda Triangle plenty of daylight above,2
1312,Institutions seem to like this class of stocks,2
1313,-0.75% #trading weak,0
1314,Going to be EPIC,2
1315,Good thing $SNE has learnt this and is integrating their devices together with the TV,2
1316,Still the top dog,2
1317,stock has 41% upside from here,2
1318,Nice day rally!,2
1319,$LTM Selling far from over a large bearish channel up formed,0
1320,Nice start,2
1321,Closed Buy,2
1322,Another Sell Rating,0
1323,valuation downgraded today would imagine this will trade red at least for a day,0
1324,$TSLA short,0
1325,$TROV reliably finding cancer mutations jackpot,2
1326,downgrade,0
1327,Nice little cup-and-handle shaping up favours a good day for the index,2
1328,I blew out $ZMH,0
1329,LOOKS like we are bouncing Nice volume from 5.77 bottom,2
1330,BlackBerry Messenger is second only to Facebook in user loyalty,2
1331,wayyy overvalued right now May take a short pos,0
1332,Gaining Momentum! Nice buy signals here!  Long Over,2
1333,Surges On Deal,2
1334,long this morning,2
1335,trade continuing very nicely from yesterday looking very strong here,2
1336,slow-motion disruption of the global auto industry,2
1337,BTO three 110 puts @ 1.34,0
1338,Apple's iPhone SE: The Sold Out Flop,0
1339,Potential intermediate top in an Uptrend,2
1340,stocks at support w/ high trade quality,2
1341,closng higher from here,2
1342,short-term forecast is now bearish,0
1343,Take it while you can,2
1344,lets see 14+ today,2
1345,bought CALL OMNIVISION TECH Should beat earnings,2
1346,Pie In The Sky,2
1347,EPS growth is around 12% so far,2
1348,Could the pride of social media be gettin ready to fall? chart rolling over?,0
1349,producing a Bullish MACD Xover,2
1350,no more buys,2
1351,,1
1352,Market getting crushed today,0
1353,Today I bought more,2
1354,bidders line up,2
1355,LED light bulb prices rise in Japan,2
1356,expecting $SPY to close above,2
1357,down 1.1% short of expectations,0
1358,Short Setups Looking Nice....Really Nice,0
1359,LONGS,2
1360,notice how the doomsaying bears disappear during the climbs,2
1361,recessions declines,0
1362,watch is showing serious demand,2
1363,new 'large player sells',0
1364,Biggest Market Losers,0
1365,Prob a buy if it does,2
1366,and is overbought,0
1367,put money in $hznp better option,0
1368,sales exceed target profitability guidance amended upward,2
1369,Goldman Sachs reiterates conviction buy on,2
1370,red before the bell,0
1371,stock will hit $170 easily,2
1372,Downbeaten stocks may be ripe for buys,2
1373,buy safety equipment maker for $2.5 billion,2
1374,weak close,0
1375,looks like it could be about to fall apart market not liking  bad business,0
1376,,1
1377,shorts are getting nervous,2
1378,Facebook has now been down 10 minutes,0
1379,Monday Bulls Are Out!,2
1380,today's top gainers,2
1381,Tesla Motors recalls,0
1382,Aggressive Buy,2
1383,"mentioned as potential suitee, suitor",2
1384,We See More Reasons To Be Cautious,0
1385,Do you really think in 4 weeks they capture 10%? Impossible.,0
1386,Friday was last chance under $2,2
1387,excellent / factual bear argument,0
1388,Bears Take a Clear Near Term Advantage,0
1389,relative weakness is pretty apparent,0
1390,Don't think buyout rumor strong enough too be driving this up just yet,0
1391,$YHOO +2.61%,2
1392,$TPLM Triangle #Petroleum 9.80+3% 2M Expanding Caliber,2
1393,Downbeaten stocks may be ripe for buys,2
1394,downgrade,0
1395,ISRG Short,0
1396,$POZN +30,2
1397,-2.10% vs -0.90% Est Prior Revised from 25.40% to 17.60%,0
1398,Daily Mail enters competition to acquire Yah,2
1399,Stocks Higher In Afternoon Trade,2
1400,Watchlist Top Stocks,2
1401,wants to ta CEO says taxes may make co leave,0
1402,$VIAB down 40%,0
1403,Sudden optimism about iPhone sales not as bad as expected gives Apple $AAPL a lift,2
1404,"Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise",2
1405,Monday sold,0
1406,"earning play $fast 47 puts, $vrx 34 puts , $bidu 182.5 puts",0
1407,Bullish MA Crossovers,2
1408,Watchlist Top Stocks,2
1409,looks constructive,2
1410,$UNT trying to break out of 5 day range $SDRL 3.69 long,2
1411,Today I bought more,2
1412,Failed breakouts & failed setups Limping on crutches into next week,0
1413,shorting here into close might be play high beta reversing,0
1414,long play another consistent profit zone,2
1415,good for economy,2
1416,today's bull flag,2
1417,Inside week buy triggers,2
1418,Insiders Are Selling,0
1419,Long buying point,2
1420,Insiders Are Selling,0
1421,revenue grew double-digit,2
1422,hangin on my a thread click away from a cliff drop,0
1423,Long $TSLA,2
1424,"recalls 2,700 Model X cars",0
1425,is in the process of streamlining its structure especially through divestment of non-core businesses,2
1426,In Play Longs,2
1427,MACD and ADX are crossing over the signal lines! Long Setup,2
1428,"Yahoo, Facebook in Ad Partnership Talks",2
1429,Buy the dip',2
1430,About to break out on the 5-min,2
1431,"Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2",2
1432,Moves on both sides possible Stay nimble and cautious,0
1433,Fed cuts rates forecast Our calls go 100%,2
1434,the parties over volatility is back,0
1435,up almost up around,2
1436,$LEI Higher,2
1437,Breakout watch,2
1438,adding to position here,2
1439,Brutal slide,0
1440,Looks good on the weekly chart,2
1441,holding up relatively well compared to the broad market,2
1442,covered the swing,2
1443,Bullish MA Crossovers,2
1444,Top Stocks in 2015 are Ready to Lead Again in 2016,2
1445,making new HOD,2
1446,defect  recalls,0
1447,Most bullish stocks on Twitter during this dip,2
1448,strong move today for the Junior Gold Miners keep an EYE out for a gap fill,2
1449,Tomorrow party time for the Bears!!,0
1450,It is cheap.  increasing fees again could be good,2
1451,Insiders Are Selling,0
1452,Why The Coal & Shipping Sectors Could Rise Again,2
1453,small businesses have called $YELP a scam for years,0
1454,weekly 120 puts +283%,0
1455,looking good Calls are active,2
1456,I may try a short,0
1457,Equity indexes working on a positive engulfing for March,2
1458,and it will continue using this profits that no one in the industry can get to innovate and develo,2
1459,To Combine In $37 Billion Deal,2
1460,Another quiet week,1
1461,Deutsche Bank downgrades,0
1462,near-term target $77.38,1
1463,$FB is taking the shine off $AAPL and $GOOG,2
1464,holding up nicely,2
1465,Bought $FB $111 calls,2
1466,airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
1467,accuses $ZNGA of copyright infringement,0
1468,mrkt needs to washout,0
1469,Airplane And Hospitality Industries Set Their Sights On #Cuba,2
1470,shipments slid -9.6% to lowest quarterly total since 2007 dethrones,0
1471,#joke #bubble #buyerbeware,0
1472,$AZPN is worth $20 a share not $40,0
1473,Come on and run with the bulls today,2
1474,$WFC -8.30%,0
1475,5 Best Analyst Rated Stocks,2
1476,nothing investors can do to damage Apple,2
1477,Don't underestimate Mark Bounce off 50sma daily,2
1478,Unusual Call Activity,2
1479,recessions declines,0
1480,buying my last round of shorts next week,0
1481,buy more on the weakness?,2
1482,Good time to buy,2
1483,the most trending,2
1484,Express Scripts loses,0
1485,debt crisis entered a dangerous new phase,0
1486,then shorted it down.,0
1487,Bullish yeah $SMH,2
1488,Call sweepers stepping up this morning,2
1489,Failed breakouts & failed setups Limping on crutches into next week,0
1490,so i can add more,2
1491,hearing rumours of a major joint venture announcement,2
1492,$NLSN launching a marketing cloud,0
1493,Moody's downgrade,0
1494,Tesla dropped a hard J this morning,0
1495,"15 years after release, Windows XP is still the 3rd most popular OS",2
1496,weakness could be opportunity Good to sell Nov Put for re-entry,2
1497,citing positive spending trends,2
1498,isn't going anywhere buying,2
1499,Sector Stocks Leading Today,2
1500,In Play Longs,2
1501,it shoots to the MOON as my favorite pumper,2
1502,Best performers,2
1503,Equities recently tagged #undervalued,2
1504,shorts breakin flag,2
1505,do i have enough shares ??? this beast keeps moving,2
1506,added to $DNKN (longs),2
1507,Bears Take a Clear Near Term Advantage,0
1508,TOP 5 STOCK PICKS,2
1509,People still coming in his EOD could be explosive shorts get caught,2
1510,< Money-Losing$ OverValued China IPO Junk,0
1511,Bigger win for,2
1512,"honestly, it's been disappointing",0
1513,over 225 million new Internet users are being added globally every year,2
1514,Grab it while it's cheap,2
1515,adding $expe and $pcln to the mix soon I already have $CTRP and $trip,2
1516,Short Setups Looking Nice....Really Nice,0
1517,t's time to short at this point,0
1518,today aside setting up for another drop Overvalued sector,0
1519,the most trending,2
1520,bail out,2
1521,$TSLA is the only 'auto' stock showing a gain year-to-date,0
1522,ready to break $QCOM watching at 55.7,2
1523,bearish charts keep getting worse.,0
